id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10678846,HOUSE,HOUSE,Schaerbeek,Brussels,1030,495000,residential_sale,3,15,hyper_equipped,False,False,1,4,1,20,135,72,2,False,good
10650946,HOUSE,APARTMENT_BLOCK,Anderlecht,Brussels,1070,649000,residential_sale,4,40,installed,False,False,1,40,1,260,300,414,2,1,to_be_done_up
10651713,HOUSE,VILLA,Waterloo,Walloon Brabant,1410,945000,residential_sale,6,50,not_installed,False,1,1,0,1,0,324,2400,4,0,to_renovate
10656655,HOUSE,HOUSE,Paliseul,Luxembourg,6850,149000,residential_sale,4,18,not_installed,False,False,1,12,1,200,200,340,4,False,to_renovate
10656598,HOUSE,HOUSE,Viroinval,Namur,5670,209000,residential_sale,3,0,installed,False,False,1,0,0,0,140,204,3,False,good
10656375,HOUSE,HOUSE,Erpe-Mere,East Flanders,9420,298000,residential_sale,4,20,hyper_equipped,0,False,1,0,1,400,190,660,3,False,good
10656569,HOUSE,HOUSE,Herzele,East Flanders,9550,460000,residential_sale,3,34,hyper_equipped,False,False,1,140,1,688,252,1050,4,False,good
10656414,HOUSE,EXCEPTIONAL_PROPERTY,Herent,Flemish Brabant,3020,475000,residential_sale,2,20,installed,False,False,1,90,0,0,130,941,4,0,good
10657127,HOUSE,VILLA,Beerse,Antwerp,2340,479000,residential_sale,3,45,0,0,False,0,0,1,611,209,1291,4,0,good
10657128,HOUSE,HOUSE,Malle,Antwerp,2390,495000,residential_sale,3,0,0,0,False,0,0,1,330,272,570,3,0,good
10582397,HOUSE,HOUSE,Gouy-lez-Piéton,Hainaut,6181,115000,residential_sale,1,18,installed,1,False,1,10,1,100,117,240,2,False,to_renovate
10658997,HOUSE,HOUSE,Pont-à-Celles,Hainaut,6230,115000,residential_sale,1,18,installed,1,False,1,10,1,100,117,240,2,False,to_renovate
